geo,date,tourist_nights,wiki_italy,wiki_rome,wiki_tourism_italy,trend_italy_tourism,trend_visit_rome
IT,2015-01,12197004.0,,,,67.0,65.0
IT,2015-02,12911673.0,,,,63.0,53.0
IT,2015-03,14445864.0,,,,70.0,60.0
IT,2015-04,16958389.0,,,,73.0,63.0
IT,2015-05,21760093.0,,,,78.0,64.0
IT,2015-06,28917569.0,,,,69.0,64.0
IT,2015-07,40829814.0,335174.0,165328.0,6185.0,64.0,64.0
IT,2015-08,46371315.0,307396.0,159203.0,5476.0,52.0,62.0
IT,2015-09,29137687.0,364959.0,190841.0,6174.0,56.0,62.0
IT,2015-10,18105231.0,340113.0,181774.0,6550.0,46.0,57.0
IT,2015-11,9950962.0,344236.0,179998.0,6624.0,42.0,48.0
IT,2015-12,11424353.0,302054.0,162008.0,5708.0,35.0,42.0
IT,2016-01,12531285.0,316190.0,188016.0,6535.0,47.0,54.0
IT,2016-02,13663106.0,316483.0,184506.0,6945.0,54.0,61.0
IT,2016-03,16585556.0,340752.0,187394.0,7378.0,54.0,59.0
IT,2016-04,16092528.0,572075.0,284810.0,7161.0,55.0,61.0
IT,2016-05,20905200.0,363220.0,194004.0,7629.0,58.0,67.0
IT,2016-06,29284258.0,382033.0,192055.0,6221.0,55.0,65.0
IT,2016-07,42248644.0,330948.0,159771.0,6110.0,54.0,61.0
IT,2016-08,46453178.0,323748.0,167201.0,6145.0,50.0,54.0
IT,2016-09,29399900.0,300218.0,181377.0,6571.0,48.0,59.0
IT,2016-10,18423649.0,326543.0,188698.0,7269.0,47.0,57.0
IT,2016-11,10171571.0,335495.0,177103.0,7473.0,38.0,48.0
IT,2016-12,11916338.0,349759.0,175380.0,7166.0,37.0,46.0
IT,2017-01,12975556.0,355024.0,189861.0,7342.0,44.0,68.0
IT,2017-02,13452422.0,330311.0,173496.0,8299.0,46.0,65.0
IT,2017-03,15264858.0,375874.0,189081.0,10064.0,55.0,67.0
IT,2017-04,19476967.0,353329.0,178620.0,8855.0,50.0,72.0
IT,2017-05,20459171.0,401790.0,192964.0,9270.0,58.0,82.0
IT,2017-06,31946344.0,404787.0,162485.0,8125.0,51.0,72.0
IT,2017-07,42823775.0,329363.0,155846.0,7516.0,50.0,72.0
IT,2017-08,46610828.0,317169.0,157191.0,7788.0,45.0,68.0
IT,2017-09,29699317.0,353285.0,168490.0,7505.0,43.0,63.0
IT,2017-10,18728021.0,355205.0,172925.0,8692.0,42.0,65.0
IT,2017-11,10775170.0,341721.0,161313.0,8258.0,41.0,58.0
IT,2017-12,12921118.0,297409.0,147635.0,6830.0,42.0,55.0
IT,2018-01,13503754.0,334276.0,162782.0,7980.0,49.0,82.0
IT,2018-02,14237004.0,330572.0,157484.0,7515.0,48.0,74.0
IT,2018-03,16876289.0,386173.0,177271.0,7968.0,49.0,82.0
IT,2018-04,18764262.0,352210.0,179299.0,7525.0,51.0,73.0
IT,2018-05,22224500.0,408929.0,182783.0,8247.0,52.0,77.0
IT,2018-06,31703577.0,399808.0,160207.0,6982.0,52.0,84.0
IT,2018-07,42695211.0,390132.0,160483.0,6317.0,44.0,91.0
IT,2018-08,46465579.0,357666.0,161808.0,5906.0,43.0,76.0
IT,2018-09,30143581.0,342557.0,155287.0,6496.0,42.0,69.0
IT,2018-10,18639869.0,342957.0,171111.0,6824.0,39.0,64.0
IT,2018-11,11225342.0,327220.0,147064.0,6452.0,39.0,54.0
IT,2018-12,12991268.0,311087.0,136894.0,5814.0,36.0,54.0
IT,2019-01,13390394.0,341722.0,154754.0,6517.0,40.0,75.0
IT,2019-02,14005378.0,324901.0,146084.0,6095.0,48.0,70.0
IT,2019-03,16425419.0,346272.0,155140.0,7095.0,41.0,76.0
IT,2019-04,19584404.0,329382.0,326920.0,6759.0,42.0,75.0
IT,2019-05,21143158.0,334057.0,160515.0,6868.0,43.0,75.0
IT,2019-06,32925705.0,313600.0,141205.0,6190.0,45.0,78.0
IT,2019-07,42507291.0,327022.0,148782.0,6297.0,39.0,75.0
IT,2019-08,46607570.0,353918.0,146797.0,6330.0,36.0,76.0
IT,2019-09,30188724.0,343194.0,153235.0,6442.0,41.0,76.0
IT,2019-10,19455009.0,360767.0,165768.0,7475.0,38.0,67.0
IT,2019-11,11515298.0,383628.0,157678.0,7111.0,36.0,59.0
IT,2019-12,13189547.0,339226.0,153617.0,6895.0,39.0,60.0
IT,2020-01,13796583.0,347675.0,165617.0,7680.0,41.0,79.0
IT,2020-02,13589306.0,347690.0,161667.0,7970.0,53.0,63.0
IT,2020-03,2452110.0,1526421.0,209123.0,15541.0,75.0,24.0
IT,2020-04,596806.0,647208.0,184930.0,9924.0,62.0,17.0
IT,2020-05,1193953.0,400902.0,161479.0,9757.0,100.0,19.0
IT,2020-06,6003974.0,302801.0,129014.0,7518.0,86.0,19.0
IT,2020-07,21539282.0,302850.0,128495.0,6429.0,59.0,19.0
IT,2020-08,34229412.0,299047.0,130970.0,6106.0,48.0,23.0
IT,2020-09,17695562.0,323784.0,136504.0,5927.0,45.0,24.0
IT,2020-10,7532562.0,322402.0,160600.0,5456.0,37.0,17.0
IT,2020-11,2397839.0,311166.0,164433.0,6221.0,28.0,14.0
IT,2020-12,2238755.0,318804.0,158636.0,5566.0,31.0,16.0
IT,2021-01,2272701.0,338267.0,169250.0,5325.0,31.0,15.0
IT,2021-02,2995045.0,337680.0,140423.0,5303.0,36.0,17.0
IT,2021-03,2800202.0,383029.0,158138.0,6418.0,44.0,18.0
IT,2021-04,2801904.0,359820.0,154203.0,5949.0,50.0,15.0
IT,2021-05,6440913.0,383494.0,164907.0,6711.0,90.0,22.0
IT,2021-06,17244221.0,411545.0,184734.0,6189.0,80.0,27.0
IT,2021-07,33847304.0,512725.0,205197.0,5877.0,66.0,34.0
IT,2021-08,42654445.0,416465.0,180822.0,5833.0,44.0,34.0
IT,2021-09,24713129.0,447773.0,183390.0,5562.0,41.0,35.0
IT,2021-10,15284643.0,403188.0,193323.0,5701.0,38.0,43.0
IT,2021-11,8498298.0,388600.0,179188.0,5370.0,32.0,39.0
IT,2021-12,9983423.0,422405.0,175033.0,5767.0,31.0,27.0
IT,2022-01,8805883.0,427075.0,189355.0,8676.0,43.0,47.0
IT,2022-02,10003137.0,446183.0,184748.0,8848.0,47.0,58.0
IT,2022-03,11909689.0,471517.0,187601.0,9597.0,48.0,65.0
IT,2022-04,16054876.0,453402.0,194373.0,10861.0,47.0,80.0
IT,2022-05,18717247.0,471966.0,206774.0,11299.0,47.0,83.0
IT,2022-06,30679914.0,431583.0,186908.0,10530.0,38.0,80.0
IT,2022-07,40982328.0,488830.0,191135.0,10210.0,35.0,77.0
IT,2022-08,44779547.0,531386.0,217559.0,11099.0,34.0,74.0
IT,2022-09,28756824.0,635677.0,232134.0,10534.0,34.0,74.0
IT,2022-10,18842950.0,576067.0,253336.0,9737.0,34.0,69.0
IT,2022-11,10460334.0,537017.0,231635.0,8737.0,33.0,59.0
IT,2022-12,12671111.0,510231.0,193009.0,9379.0,29.0,60.0
IT,2023-01,13753838.0,470579.0,574433.0,11600.0,33.0,88.0
IT,2023-02,13990049.0,436106.0,207961.0,9328.0,35.0,81.0
IT,2023-03,15195565.0,530189.0,257770.0,12599.0,35.0,86.0
IT,2023-04,19311339.0,438742.0,231046.0,10238.0,38.0,79.0
IT,2023-05,21175322.0,541870.0,254662.0,10652.0,36.0,85.0
IT,2023-06,31560107.0,516954.0,228847.0,11895.0,34.0,82.0
IT,2023-07,41427106.0,525688.0,235343.0,12254.0,36.0,86.0
IT,2023-08,44115359.0,461301.0,219632.0,12932.0,31.0,79.0
IT,2023-09,30339280.0,491277.0,230114.0,13484.0,33.0,75.0
IT,2023-10,19542279.0,447861.0,218032.0,12771.0,31.0,71.0
IT,2023-11,11352967.0,414762.0,201204.0,10884.0,26.0,63.0
IT,2023-12,13597785.0,460178.0,225953.0,11994.0,24.0,63.0
IT,2024-01,14200247.0,560981.0,289188.0,13365.0,33.0,91.0
IT,2024-02,15126292.0,420378.0,216702.0,9386.0,34.0,91.0
IT,2024-03,17185988.0,1119481.0,224068.0,12643.0,35.0,95.0
IT,2024-04,18102033.0,449809.0,235361.0,10222.0,37.0,92.0
IT,2024-05,23501118.0,411873.0,205207.0,10340.0,37.0,100.0
IT,2024-06,31724044.0,397261.0,174292.0,8690.0,37.0,98.0
IT,2024-07,42000807.0,383988.0,187466.0,9012.0,38.0,90.0
IT,2024-08,44661250.0,381998.0,170590.0,8701.0,35.0,88.0
IT,2024-09,30506839.0,319650.0,177905.0,8979.0,34.0,97.0
IT,2024-10,20684419.0,320614.0,188391.0,8628.0,31.0,79.0
IT,2024-11,12334048.0,333580.0,179189.0,7623.0,33.0,70.0
IT,2024-12,13883632.0,,,,28.0,75.0
IT,2025-01,14273335.0,,,,,
IT,2025-02,14389106.0,,,,,
IT,2025-03,15831512.0,,,,,
IT,2025-04,18586432.0,,,,,
IT,2025-05,24221063.0,,,,,
IT,2025-06,33664454.0,,,,,
IT,2025-07,43435654.0,,,,,
IT,2025-08,45304921.0,,,,,
IT,2025-09,30869569.0,,,,,
IT,2025-10,21157169.0,,,,,
IT,2025-11,11907011.0,,,,,
IT,2025-12,14381575.0,,,,,
IT,2026-01,14192905.0,,,,,
