geo,date,keyword,score
IT,2015-01,visit Rome,65
IT,2015-02,visit Rome,53
IT,2015-03,visit Rome,60
IT,2015-04,visit Rome,63
IT,2015-05,visit Rome,64
IT,2015-06,visit Rome,64
IT,2015-07,visit Rome,64
IT,2015-08,visit Rome,62
IT,2015-09,visit Rome,62
IT,2015-10,visit Rome,57
IT,2015-11,visit Rome,48
IT,2015-12,visit Rome,42
IT,2016-01,visit Rome,54
IT,2016-02,visit Rome,61
IT,2016-03,visit Rome,59
IT,2016-04,visit Rome,61
IT,2016-05,visit Rome,67
IT,2016-06,visit Rome,65
IT,2016-07,visit Rome,61
IT,2016-08,visit Rome,54
IT,2016-09,visit Rome,59
IT,2016-10,visit Rome,57
IT,2016-11,visit Rome,48
IT,2016-12,visit Rome,46
IT,2017-01,visit Rome,68
IT,2017-02,visit Rome,65
IT,2017-03,visit Rome,67
IT,2017-04,visit Rome,72
IT,2017-05,visit Rome,82
IT,2017-06,visit Rome,72
IT,2017-07,visit Rome,72
IT,2017-08,visit Rome,68
IT,2017-09,visit Rome,63
IT,2017-10,visit Rome,65
IT,2017-11,visit Rome,58
IT,2017-12,visit Rome,55
IT,2018-01,visit Rome,82
IT,2018-02,visit Rome,74
IT,2018-03,visit Rome,82
IT,2018-04,visit Rome,73
IT,2018-05,visit Rome,77
IT,2018-06,visit Rome,84
IT,2018-07,visit Rome,91
IT,2018-08,visit Rome,76
IT,2018-09,visit Rome,69
IT,2018-10,visit Rome,64
IT,2018-11,visit Rome,54
IT,2018-12,visit Rome,54
IT,2019-01,visit Rome,75
IT,2019-02,visit Rome,70
IT,2019-03,visit Rome,76
IT,2019-04,visit Rome,75
IT,2019-05,visit Rome,75
IT,2019-06,visit Rome,78
IT,2019-07,visit Rome,75
IT,2019-08,visit Rome,76
IT,2019-09,visit Rome,76
IT,2019-10,visit Rome,67
IT,2019-11,visit Rome,59
IT,2019-12,visit Rome,60
IT,2020-01,visit Rome,79
IT,2020-02,visit Rome,63
IT,2020-03,visit Rome,24
IT,2020-04,visit Rome,17
IT,2020-05,visit Rome,19
IT,2020-06,visit Rome,19
IT,2020-07,visit Rome,19
IT,2020-08,visit Rome,23
IT,2020-09,visit Rome,24
IT,2020-10,visit Rome,17
IT,2020-11,visit Rome,14
IT,2020-12,visit Rome,16
IT,2021-01,visit Rome,15
IT,2021-02,visit Rome,17
IT,2021-03,visit Rome,18
IT,2021-04,visit Rome,15
IT,2021-05,visit Rome,22
IT,2021-06,visit Rome,27
IT,2021-07,visit Rome,34
IT,2021-08,visit Rome,34
IT,2021-09,visit Rome,35
IT,2021-10,visit Rome,43
IT,2021-11,visit Rome,39
IT,2021-12,visit Rome,27
IT,2022-01,visit Rome,47
IT,2022-02,visit Rome,58
IT,2022-03,visit Rome,65
IT,2022-04,visit Rome,80
IT,2022-05,visit Rome,83
IT,2022-06,visit Rome,80
IT,2022-07,visit Rome,77
IT,2022-08,visit Rome,74
IT,2022-09,visit Rome,74
IT,2022-10,visit Rome,69
IT,2022-11,visit Rome,59
IT,2022-12,visit Rome,60
IT,2023-01,visit Rome,88
IT,2023-02,visit Rome,81
IT,2023-03,visit Rome,86
IT,2023-04,visit Rome,79
IT,2023-05,visit Rome,85
IT,2023-06,visit Rome,82
IT,2023-07,visit Rome,86
IT,2023-08,visit Rome,79
IT,2023-09,visit Rome,75
IT,2023-10,visit Rome,71
IT,2023-11,visit Rome,63
IT,2023-12,visit Rome,63
IT,2024-01,visit Rome,91
IT,2024-02,visit Rome,91
IT,2024-03,visit Rome,95
IT,2024-04,visit Rome,92
IT,2024-05,visit Rome,100
IT,2024-06,visit Rome,98
IT,2024-07,visit Rome,90
IT,2024-08,visit Rome,88
IT,2024-09,visit Rome,97
IT,2024-10,visit Rome,79
IT,2024-11,visit Rome,70
IT,2024-12,visit Rome,75
IT,2015-01,Italy tourism,67
IT,2015-02,Italy tourism,63
IT,2015-03,Italy tourism,70
IT,2015-04,Italy tourism,73
IT,2015-05,Italy tourism,78
IT,2015-06,Italy tourism,69
IT,2015-07,Italy tourism,64
IT,2015-08,Italy tourism,52
IT,2015-09,Italy tourism,56
IT,2015-10,Italy tourism,46
IT,2015-11,Italy tourism,42
IT,2015-12,Italy tourism,35
IT,2016-01,Italy tourism,47
IT,2016-02,Italy tourism,54
IT,2016-03,Italy tourism,54
IT,2016-04,Italy tourism,55
IT,2016-05,Italy tourism,58
IT,2016-06,Italy tourism,55
IT,2016-07,Italy tourism,54
IT,2016-08,Italy tourism,50
IT,2016-09,Italy tourism,48
IT,2016-10,Italy tourism,47
IT,2016-11,Italy tourism,38
IT,2016-12,Italy tourism,37
IT,2017-01,Italy tourism,44
IT,2017-02,Italy tourism,46
IT,2017-03,Italy tourism,55
IT,2017-04,Italy tourism,50
IT,2017-05,Italy tourism,58
IT,2017-06,Italy tourism,51
IT,2017-07,Italy tourism,50
IT,2017-08,Italy tourism,45
IT,2017-09,Italy tourism,43
IT,2017-10,Italy tourism,42
IT,2017-11,Italy tourism,41
IT,2017-12,Italy tourism,42
IT,2018-01,Italy tourism,49
IT,2018-02,Italy tourism,48
IT,2018-03,Italy tourism,49
IT,2018-04,Italy tourism,51
IT,2018-05,Italy tourism,52
IT,2018-06,Italy tourism,52
IT,2018-07,Italy tourism,44
IT,2018-08,Italy tourism,43
IT,2018-09,Italy tourism,42
IT,2018-10,Italy tourism,39
IT,2018-11,Italy tourism,39
IT,2018-12,Italy tourism,36
IT,2019-01,Italy tourism,40
IT,2019-02,Italy tourism,48
IT,2019-03,Italy tourism,41
IT,2019-04,Italy tourism,42
IT,2019-05,Italy tourism,43
IT,2019-06,Italy tourism,45
IT,2019-07,Italy tourism,39
IT,2019-08,Italy tourism,36
IT,2019-09,Italy tourism,41
IT,2019-10,Italy tourism,38
IT,2019-11,Italy tourism,36
IT,2019-12,Italy tourism,39
IT,2020-01,Italy tourism,41
IT,2020-02,Italy tourism,53
IT,2020-03,Italy tourism,75
IT,2020-04,Italy tourism,62
IT,2020-05,Italy tourism,100
IT,2020-06,Italy tourism,86
IT,2020-07,Italy tourism,59
IT,2020-08,Italy tourism,48
IT,2020-09,Italy tourism,45
IT,2020-10,Italy tourism,37
IT,2020-11,Italy tourism,28
IT,2020-12,Italy tourism,31
IT,2021-01,Italy tourism,31
IT,2021-02,Italy tourism,36
IT,2021-03,Italy tourism,44
IT,2021-04,Italy tourism,50
IT,2021-05,Italy tourism,90
IT,2021-06,Italy tourism,80
IT,2021-07,Italy tourism,66
IT,2021-08,Italy tourism,44
IT,2021-09,Italy tourism,41
IT,2021-10,Italy tourism,38
IT,2021-11,Italy tourism,32
IT,2021-12,Italy tourism,31
IT,2022-01,Italy tourism,43
IT,2022-02,Italy tourism,47
IT,2022-03,Italy tourism,48
IT,2022-04,Italy tourism,47
IT,2022-05,Italy tourism,47
IT,2022-06,Italy tourism,38
IT,2022-07,Italy tourism,35
IT,2022-08,Italy tourism,34
IT,2022-09,Italy tourism,34
IT,2022-10,Italy tourism,34
IT,2022-11,Italy tourism,33
IT,2022-12,Italy tourism,29
IT,2023-01,Italy tourism,33
IT,2023-02,Italy tourism,35
IT,2023-03,Italy tourism,35
IT,2023-04,Italy tourism,38
IT,2023-05,Italy tourism,36
IT,2023-06,Italy tourism,34
IT,2023-07,Italy tourism,36
IT,2023-08,Italy tourism,31
IT,2023-09,Italy tourism,33
IT,2023-10,Italy tourism,31
IT,2023-11,Italy tourism,26
IT,2023-12,Italy tourism,24
IT,2024-01,Italy tourism,33
IT,2024-02,Italy tourism,34
IT,2024-03,Italy tourism,35
IT,2024-04,Italy tourism,37
IT,2024-05,Italy tourism,37
IT,2024-06,Italy tourism,37
IT,2024-07,Italy tourism,38
IT,2024-08,Italy tourism,35
IT,2024-09,Italy tourism,34
IT,2024-10,Italy tourism,31
IT,2024-11,Italy tourism,33
IT,2024-12,Italy tourism,28
