region,country,capital,tourist_destination_1,tourist_destination_2,tourist_destination_3
Hrvatska,Croatia,Zagreb,Dubrovnik Old Town,Plitvice Lakes National Park,Split Diocletian's Palace
Panonska Hrvatska,Croatia,Osijek,Osijek Tvrđa Fortress,Slavonia Wine Region,Kopački Rit Nature Park
Bjelovarsko-bilogorska županija,Croatia,Bjelovar,Bjelovar City Museum,Daruvar Thermal Spa,Bilogora Hills
Virovitičko-podravska županija,Croatia,Virovitica,Virovitica Pejačević Castle,Papuk Nature Park,Ružica Grad Fortress
Požeško-slavonska županija,Croatia,Požega,Požega Cathedral,Papuk Geopark,Kutjevo Wine Cellars
Brodsko-posavska županija,Croatia,Slavonski Brod,Slavonski Brod Fortress,Eco-ethno Village Stara Kapela,Brodsko Posavlje Museum
Osječko-baranjska županija,Croatia,Osijek,Kopački Rit Nature Park,Osijek Tvrđa Fortress,Baranja Wine Cellars
Vukovarsko-srijemska županija,Croatia,Vinkovci,Vukovar Memorial Site,Ilok Wine Region,Vučedol Museum
Karlovačka županija,Croatia,Karlovac,Dubovac Castle,Aquatika Freshwater Aquarium,Mrežnica River
Sisačko-moslavačka županija,Croatia,Sisak,Sisak Fortress,Lonjsko Polje Nature Park,Čigoč Stork Village
Jadranska Hrvatska,Croatia,Split,Dubrovnik Old Town,Split Diocletian's Palace,Hvar Island
Primorsko-goranska županija,Croatia,Rijeka,Trsat Castle,Krk Island,Opatija Riviera
Ličko-senjska županija,Croatia,Gospić,Plitvice Lakes National Park,Velebit Nature Park,Senj Nehaj Fortress
Zadarska županija,Croatia,Zadar,Zadar Sea Organ,Zadar Roman Forum,Kornati National Park
Šibensko-kninska županija,Croatia,Šibenik,Šibenik Cathedral,Krka National Park,Knin Fortress
Splitsko-dalmatinska županija,Croatia,Split,Split Diocletian's Palace,Hvar Island,Makarska Riviera
Istarska županija,Croatia,Pula,Pula Arena,Rovinj Old Town,Motovun Hill Town
Dubrovačko-neretvanska županija,Croatia,Dubrovnik,Dubrovnik Old Town,Mljet Island National Park,Korčula Old Town
Grad Zagreb,Croatia,Zagreb,Zagreb Cathedral,Dolac Market,Zagreb Museum of Broken Relationships
Sjeverna Hrvatska,Croatia,Varaždin,Varaždin Baroque Town,Trakošćan Castle,Krapina Neanderthal Museum
Međimurska županija,Croatia,Čakovec,Čakovec Castle,Štrigova Wine Route,Terme Sveti Martin
Varaždinska županija,Croatia,Varaždin,Varaždin Baroque Town,Trakošćan Castle,Varaždinske Toplice
Koprivničko-križevačka županija,Croatia,Koprivnica,Hlebine Gallery of Naive Art,Đurđevac Old Town,Kalnik Mountain
Krapinsko-zagorska županija,Croatia,Krapina,Krapina Neanderthal Museum,Veliki Tabor Castle,Terme Tuhelj
Zagrebačka županija,Croatia,Velika Gorica,Samobor Old Town,Žumberak Nature Park,Plešivica Wine Road