"Time","albania things to do"
"2021-04-01",5
"2021-05-01",5
"2021-06-01",10
"2021-07-01",15
"2021-08-01",12
"2021-09-01",9
"2021-10-01",7
"2021-11-01",8
"2021-12-01",4
"2022-01-01",7
"2022-02-01",10
"2022-03-01",14
"2022-04-01",13
"2022-05-01",19
"2022-06-01",16
"2022-07-01",23
"2022-08-01",21
"2022-09-01",17
"2022-10-01",15
"2022-11-01",9
"2022-12-01",14
"2023-01-01",19
"2023-02-01",14
"2023-03-01",15
"2023-04-01",19
"2023-05-01",25
"2023-06-01",29
"2023-07-01",29
"2023-08-01",21
"2023-09-01",19
"2023-10-01",14
"2023-11-01",13
"2023-12-01",13
"2024-01-01",23
"2024-02-01",22
"2024-03-01",29
"2024-04-01",33
"2024-05-01",35
"2024-06-01",35
"2024-07-01",35
"2024-08-01",31
"2024-09-01",29
"2024-10-01",25
"2024-11-01",17
"2024-12-01",17
"2025-01-01",27
"2025-02-01",25
"2025-03-01",27
"2025-04-01",30
"2025-05-01",29
"2025-06-01",31
"2025-07-01",37
"2025-08-01",100
"2025-09-01",59
"2025-10-01",39
"2025-11-01",35
"2025-12-01",41
"2026-01-01",47
"2026-02-01",48
"2026-03-01",45
"2026-04-01",33