"Time","is albania worth visiting"
"2021-04-01",0
"2021-05-01",0
"2021-06-01",0
"2021-07-01",0
"2021-08-01",0
"2021-09-01",0
"2021-10-01",0
"2021-11-01",0
"2021-12-01",0
"2022-01-01",22
"2022-02-01",0
"2022-03-01",22
"2022-04-01",0
"2022-05-01",22
"2022-06-01",22
"2022-07-01",22
"2022-08-01",33
"2022-09-01",33
"2022-10-01",22
"2022-11-01",22
"2022-12-01",0
"2023-01-01",33
"2023-02-01",44
"2023-03-01",22
"2023-04-01",33
"2023-05-01",44
"2023-06-01",78
"2023-07-01",44
"2023-08-01",56
"2023-09-01",44
"2023-10-01",22
"2023-11-01",0
"2023-12-01",0
"2024-01-01",33
"2024-02-01",78
"2024-03-01",56
"2024-04-01",56
"2024-05-01",67
"2024-06-01",100
"2024-07-01",56
"2024-08-01",44
"2024-09-01",56
"2024-10-01",33
"2024-11-01",44
"2024-12-01",33
"2025-01-01",56
"2025-02-01",56
"2025-03-01",56
"2025-04-01",78
"2025-05-01",67
"2025-06-01",67
"2025-07-01",78
"2025-08-01",78
"2025-09-01",67
"2025-10-01",33
"2025-11-01",33
"2025-12-01",44
"2026-01-01",78
"2026-02-01",100
"2026-03-01",67
"2026-04-01",56